Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS, 16% Citric, 1200ppm CapB, 1.1% APG (17)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,15-Nov,,4.25cc,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 2% APG (385) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,15-Nov,,3.25cc,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 4% APG (386) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,15-Nov,,5cc,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12% HS, 12% Citric, 400ppm CapB, 2% APG (387) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,Zeta,Conductivity ,Size ,PI,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,15-Nov,,5.5cc,"Small, compact bubbles ",,,-13.47,12.07,144.7,0.9196,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12% HS, 12% Citric, 400ppm CapB, 4% APG (388) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,15-Nov,,6cc,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12% HS, 12% Citric, 200ppm CapB, 3% APG (389) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,15-Nov,,4.25cc,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12% HS, 12% Citric, 200ppm CapB, 4% APG (390)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,15-Nov,,5cc,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12% HS, 12% Citric, 500ppm CapB, 2% APG (391) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,15-Nov,,3cc,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12% HS, 12% Citric, 2% APG (392) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,15-Nov,,3cc,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12% HS, 12% Citric, 4% APG (393)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,15-Nov,,5.25cc,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS, 14% Citric, 1800ppm CapB, 2.5% APG  (No name 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,22-Nov,,7cc,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12% HS, 12% Citric, 1500ppm CapB, 2.5% APG  (No name 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,22-Nov,,5.5cc,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 2000ppm CapB, 2.5% APG  (No name 3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,22-Nov,,6.75cc,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS, 14% Citric, 1800ppm CapB, 2% APG (415)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,29-Nov,,6.5cc,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,02-Dec,,1cc,very large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,03-Dec,,8.5 cc,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,04-Dec,,7 cc,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,05-Dec,,3cc,Large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution - Frozen and thawed twice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,05-Dec,,6cc,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS, 12% Citric, 1800ppm CapB, 2% APG (441)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,11-Dec,,5.5,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,12-Dec,,4.5,Large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12% HS, 12% Citric, 1800ppm CapB, 2% APG (442)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,11-Dec,,6,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,12-Dec,,4,Large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS, 12% Citric, 2000ppm CapB, 2% APG (443)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,11-Dec,,5.5,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,12-Dec,,4.74,Large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12% HS, 12% Citric, 2000ppm CapB, 2% APG (444)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,11-Dec,,6.25,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,12-Dec,,5.25,Large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS, 12% Citric, 2300ppm CapB, 2% APG (445)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,11-Dec,,6,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,12-Dec,,3.5,Large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS, 14% Citric, 1800ppm CapB, 2% APG (446)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,11-Dec,,4.25,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,12-Dec,,3.75,Medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50 mL falcon tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,19-Dec,,15,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS, 14% Citric, 1800ppm CapB, 2.2% APG (447)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,11-Dec,,4.25,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,12-Dec,,3.5,Medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS, 14% Citric, 2000ppm CapB, 2% APG (448)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,11-Dec,,4.5,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,12-Dec,,3.75,Medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS, 14% Citric, 2000ppm CapB, 2.2% APG (449)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,11-Dec,,6,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,12-Dec,,5,Medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS, 14% Citric, 2300ppm CapB, 2% APG (450)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,11-Dec,,5.5,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,12-Dec,,1,Small bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS, 14% Citric, 2300ppm CapB, 2.2% APG (451)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,11-Dec,,5,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,12-Dec,,4.25,Large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS, 14% Citric, 2000ppm CapB, 2% APG (452)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,11-Dec,,5.5,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,12-Dec,,3.75,Medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS, 14% Citric, 2500ppm CapB, 2.2% APG (453)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,11-Dec,,5,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,12-Dec,,4.5,Medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12% HS, 12% Citric, 800ppm CapB, 2% APG (454)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,11-Dec,,4.5,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,12-Dec,,3,Medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12% HS, 12% Citric, 800ppm CapB, 2.2% APG (455)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,11-Dec,,5,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,12-Dec,,3.25,Medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12% HS, 12% Citric, 1000ppm CapB, 2% APG (456)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,11-Dec,,5,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,12-Dec,,1.25,Small bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12% HS, 12% Citric, 1000ppm CapB, 2.2% APG (457)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,11-Dec,,3.5,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,12-Dec,,2.25,Small bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS, 14% Citric, 800ppm CapB, 2.2% APG (459)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,11-Dec,,4.75,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,12-Dec,,3.75,Medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS, 14% Citric, 800ppm CapB, 2% APG (458)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,11-Dec,,4.75,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,12-Dec,,4,Medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS, 14% Citric, 1000ppm CapB, 2% APG (460)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,11-Dec,,3.5,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,12-Dec,,2,Small bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS, 14% Citric, 1000ppm CapB, 2.2% APG (461)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,11-Dec,,4.5,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,12-Dec,,3.5,Small bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12% HS, 12% Citric, 800ppm CapB, 2% APG (454)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,35C,,3cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,12-Dec,,2.25,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,13-Dec,,1.75,Small bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12% HS, 12% Citric, 800ppm CapB, 2.2% APG (455)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,35C,,3cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,12-Dec,,2,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,13-Dec,,1,Small bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12% HS, 12% Citric, 1000ppm CapB, 2% APG (456)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,35C,,3cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,12-Dec,,2.25,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,13-Dec,,1.5,Small bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12% HS, 12% Citric, 1000ppm CapB, 2.2% APG (457)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,35C,,3cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,12-Dec,,2.5,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,13-Dec,,1.5,Small bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 800ppm CapB, 2% APG (462)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,35C,,3cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,12-Dec,,2,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,13-Dec,,1.25,Small bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 800ppm CapB, 2.2% APG (463)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,35C,,3cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,12-Dec,,2.5,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,13-Dec,,1.5,Small bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1000ppm CapB, 2% APG (464)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,35C,,3cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,12-Dec,,2.75,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,13-Dec,,1.25,Small bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1000ppm CapB, 2.2% APG (465)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,35C,,3cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,12-Dec,,2.75,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,13-Dec,,1.75,Small bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12% HS, 12% Citric, 600ppm CapB, 4% APG (471)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,35C,,3cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,12-Dec,,2.25,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,13-Dec,,0,Small bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12% HS, 12% Citric, 800ppm CapB, 4% APG (472)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,35C,,3cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,12-Dec,,2.5,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,13-Dec,,1,Small bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12% HS, 12% Citric, 1000ppm CapB, 4% APG (473)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,35C,,3cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,12-Dec,,2.75,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,13-Dec,,1.75,Small bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12% HS, 12% Citric, 1500ppm CapB, 4% APG (474)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,35C,,3cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,12-Dec,,2.25,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,13-Dec,,1,Small bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12% HS, 12% Citric, 600ppm CapB, 6% APG (475)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,35C,,3cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
